PIH,1347 Property Insurance Holdings, Inc.
FLWS,1-800 FLOWERS.COM, Inc.
FCCY,1st Constitution Bancorp (NJ)
SRCE,1st Source Corporation
XXII,22nd Century Group, Inc
TWOU,2U, Inc.
DDD,3D Systems Corporation
MMM,3M Company
CAFD,8point3 Energy Partners LP
EGHT,8x8 Inc
AVHI,A V Homes, Inc.
SHLM,A. Schulman, Inc.
AHC,A.H. Belo Corporation
AAC,AAC Holdings, Inc.
AAON,AAON, Inc.
AIR,AAR Corp.
AAN,Aaron's,  Inc.
